FID,省份,贫困县名,X,Y,地址类型,脱贫时间
334,湖南,汝城县,113.6796705,25.5532572,区县,2019年3月18日正式退出
335,湖南,桑植县,110.1590587,29.4022265,区县,2020年2月29日正式退出
336,湖南,邵阳县,111.2686592,26.99399582,区县,2020年2月29日正式退出
337,湖南,石门县,111.3742003,29.5866623,区县,2018年8月17日正式退出
338,湖南,绥宁县,110.1512413,26.58543711,区县,2019年4月20日正式退出
339,湖南,通道县,109.7794296,26.16131466,区县,2020年2月29日正式退出
340,湖南,武冈市,110.6273922,26.73022299,区县,2019年4月20日正式退出
341,湖南,新化县,111.3224738,27.72991319,区县,2020年2月29日正式退出
342,湖南,新晃县,109.1704241,27.35595251,区县,2019年4月20日正式退出
343,湖南,新宁县,110.8522233,26.43716494,区县,2020年2月29日正式退出
344,湖南,新邵县,111.4524073,27.32420366,区县,2019年4月20日正式退出
345,湖南,新田县,112.1985954,25.90655829,区县,2020年2月29日正式退出
346,湖南,溆浦县,110.5903617,27.91172855,区县,2020年2月29日正式退出
347,湖南,炎陵县,113.7675847,26.49321309,区县,2018年8月17日正式退出
348,湖南,宜章县,112.9437388,25.40268868,区县,2019年3月18日正式退出
349,湖南,永顺县,109.8523802,28.98329018,区县,2020年2月29日正式退出
350,湖南,沅陵县,110.3890004,28.45586984,区县,2020年2月29日正式退出
351,湖南,芷江县,109.6804074,27.4465916,区县,2019年4月20日正式退出
352,湖南,中方县,109.9404846,27.44346335,区县,2018年8月17日正式退出
353,吉林,安图县,128.8927806,43.10934006,区县,2020年4月11日正式退出
354,吉林,大安市,124.2855638,45.50489129,区县,2020年4月11日正式退出
355,吉林,和龙市,129.0044576,42.54358733,区县,2019年4月28日正式退出
356,吉林,靖宇县,126.8073769,42.38645672,区县,2020年4月11日正式退出
357,吉林,龙井市,129.4188648,42.76328462,区县,2019年4月28日正式退出
358,吉林,通榆县,123.0816206,44.81086928,区县,2020年4月11日正式退出
359,吉林,汪清县,129.7639105,43.31020465,区县,2020年4月11日正式退出
360,吉林,镇赉县,123.1935583,45.84527941,区县,2019年4月28日正式退出
361,江西,安远县,115.3888828,25.1396341,区县,2019年4月28日正式退出
362,江西,赣县区,115.0070391,25.86370356,区县,2020年4月26日正式退出
363,江西,广昌县,116.3311189,26.84607492,区县,2018年8月17日正式退出
364,江西,横峰县,117.590966,28.41056107,区县,2018年8月17日正式退出
365,江西,会昌县,115.781161,25.60331035,区县,2019年4月28日正式退出
366,江西,吉安县,114.9032169,27.04283642,区县,2017年11月1日正式退出
367,江西,井冈山市,114.2838824,26.75139205,区县,2017年2月26日宣布退出
368,江西,乐安县,115.82613,27.43145263,区县,2019年4月28日正式退出
369,江西,莲花县,113.9567758,27.13104537,区县,2019年4月28日正式退出
370,江西,南康区,114.7601283,25.66422933,区县,2019年4月28日正式退出
371,江西,宁都县,116.0041352,26.47334797,区县,2020年4月26日正式退出
372,江西,鄱阳县,116.6990766,29.00877185,区县,2020年4月26日正式退出
373,江西,瑞金市,116.0221275,25.88836725,区县,2018年8月17日正式退出
374,江西,上饶县,117.9040482,28.45194454,区县,2018年8月17日正式退出
375,江西,上犹县,114.5472467,25.78793366,区县,2019年4月28日正式退出
376,江西,石城县,116.3411392,26.31648329,区县,2019年4月28日正式退出
377,江西,遂川县,114.5161163,26.31709396,区县,2019年4月28日正式退出
378,江西,万安县,114.7810919,26.46180776,区县,2018年8月17日正式退出
379,江西,兴国县,115.3578262,26.34127886,区县,2020年4月26日正式退出
380,江西,修水县,114.5419947,29.02857446,区县,2020年4月26日正式退出
381,江西,寻乌县,115.6422871,24.96647625,区县,2019年4月28日正式退出
382,江西,永新县,114.2378695,26.94858387,区县,2018年8月17日正式退出
383,江西,于都县,115.4098265,25.95471485,区县,2020年4月26日正式退出
384,江西,余干县,116.6901204,28.70541241,区县,2019年4月28日正式退出
385,内蒙古,阿尔山市,119.9374278,47.17551129,区县,2019年4月19日正式退出
386,内蒙古,阿鲁科尔沁旗,120.0596457,43.86993955,区县,2020年3月4日正式退出
387,内蒙古,敖汉旗,119.9151839,42.28873878,区县,2020年3月4日正式退出
388,内蒙古,巴林右旗,118.6575683,43.53170663,区县,2019年4月19日正式退出
389,内蒙古,巴林左旗,119.3730785,43.96790518,区县,2020年3月4日正式退出
